PLAYER,TEAM,AGE,GAMES_PLAYED,WINS,LOSSES,MIN_TOTAL,MIN_PER_GAME,DEF_RTG,DREB_TOTAL,DREB_PER_GAME,DREB_PCT,PCT_TEAM_DREB,STL_TOTAL,STL_PER_GAME,PCT_TEAM_STL,BLK_TOTAL,BLK_PER_GAME,PCT_TEAM_BLK,OPP_PTS_OFF_TOV_TOTAL,OPP_PPG_OFF_TOV,OPP_2ND_CHANCE_PTS_TOTAL,OPP_2ND_CHANCE_PPG,OPP_FB_PTS_TOTAL,OPP_FB_PPG,OPP_PAINT_PTS_TOTAL,OPP_PAINT_PPG,DEF_WS_TOTAL,DEF_WS_PER_GAME
Kel'el Ware,MIA,21,64,28,36,1422,22.2,110.9,357,5.6,23.8,35.6,39,0.6,17.4,71,1.1,47.7,520,8.1,406,6.3,447,7,1492,23.3,4.9,0.077
Keldon Johnson,SAS,25,77,31,46,1838,23.9,115.9,259,3.4,13.6,21.7,49,0.6,14.4,22,0.3,10.7,663,8.6,659,8.6,543,7.1,1948,25.3,3.7,0.048
Kelly Olynyk,NOP,34,44,12,32,891,20.2,113.4,144,3.3,15.4,24.1,33,0.8,20.6,19,0.4,24.7,342,7.8,304,6.9,313,7.1,886,20.1,2.4,0.055
Kelly Oubre Jr.,PHI,29,60,21,39,2078,34.6,116.4,271,4.5,14,21.9,92,1.5,21.4,30,0.5,16.8,733,12.2,594,9.9,700,11.7,2172,36.2,3.8,0.064
Kenrich Williams,OKC,30,69,58,11,1132,16.4,104.1,176,2.6,14.8,22.2,43,0.6,19.5,10,0.1,8.8,302,4.4,336,4.9,274,4,980,14.2,6.1,0.088
Kentavious Caldwell-Pope,MEM,32,77,38,39,2279,29.6,108.6,136,1.8,6.4,9.4,99,1.3,24,34,0.4,12.5,817,10.6,550,7.1,654,8.5,2196,28.5,8.6,0.112
Keon Ellis,SAC,25,80,39,41,1948,24.4,113.2,152,1.9,7.9,11.6,121,1.5,36.4,63,0.8,33.2,687,8.6,498,6.2,549,6.9,1938,24.2,5.4,0.067
Keon Johnson,BKN,23,79,25,54,1925,24.4,114.4,234,3,12.5,18.9,82,1,26.1,30,0.4,17.1,793,10,521,6.6,627,7.9,2012,25.5,4.7,0.06
Keshad Johnson,MIA,24,16,10,6,98,6.1,104.1,22,1.4,18.8,27.2,5,0.3,27.8,4,0.3,25,39,2.4,31,1.9,30,1.9,94,5.9,0.6,0.036
Kessler Edwards,DAL,24,40,17,23,608,15.2,122.3,93,2.3,15.4,24.1,19,0.5,20.2,20,0.5,35.7,213,5.3,226,5.7,196,4.9,742,18.6,0.1,0.002
Kevin Durant,PHX,36,62,33,29,2265,36.5,117.4,351,5.7,14.7,22,50,0.8,15.8,77,1.2,33.9,887,14.3,657,10.6,806,13,2284,36.8,3.5,0.057
Kevin Huerter,CHI,26,69,39,30,1679,24.3,111.7,175,2.5,9.8,14.7,66,1,24,23,0.3,15.4,640,9.3,510,7.4,423,6.1,1744,25.3,5.3,0.076
Kevin Knox II,GSW,25,14,11,3,84,6,115.6,10,0.7,14.9,22.7,2,0.1,9.5,4,0.3,44.4,34,2.4,26,1.9,18,1.3,90,6.4,0.2,0.013
Kevin Love,MIA,36,23,13,10,251,10.9,112.3,72,3.1,28.2,39.3,15,0.7,28.3,4,0.2,26.7,108,4.7,60,2.6,114,5,276,12,0.8,0.035
Kevin McCullar Jr.,NYK,24,4,4,0,29,7.3,96.9,8,2,28.6,34.8,1,0.3,25,1,0.3,50,13,3.3,2,0.5,9,2.3,34,8.5,0.2,0.058
Kevin Porter Jr.,MIL,25,75,43,32,1482,19.8,108,236,3.1,14.8,22,81,1.1,29.8,13,0.2,8.9,518,6.9,454,6.1,426,5.7,1362,18.2,6.3,0.084
Kevon Looney,GSW,29,76,45,31,1142,15,106.9,277,3.6,22.7,33.8,46,0.6,22.3,37,0.5,36.3,389,5.1,304,4,337,4.4,1092,14.4,5.3,0.069
Keyonte George,UTA,21,67,13,54,2108,31.5,122,227,3.4,10.4,16.2,46,0.7,16.1,9,0.1,4.6,971,14.5,721,10.8,906,13.5,2392,35.7,0.5,0.007
Khris Middleton,WAS,33,37,18,19,843,22.8,112.6,124,3.4,13.2,19.7,35,0.9,23.5,8,0.2,10,303,8.2,240,6.5,287,7.8,842,22.8,2.5,0.068
Killian Hayes,BKN,23,6,1,5,162,27.1,115.6,13,2.2,8.7,14.1,4,0.7,10.8,4,0.7,14.8,56,9.3,55,9.2,75,12.5,186,31,0.3,0.059
Klay Thompson,DAL,35,72,33,39,1965,27.3,115.2,202,2.8,9.7,15,50,0.7,16.3,30,0.4,12.4,688,9.6,647,9,654,9.1,2196,30.5,4.3,0.059
Kobe Brown,LAC,25,40,25,15,272,6.8,114.7,46,1.2,17.6,27.5,7,0.2,13.7,4,0.1,14.8,104,2.6,85,2.1,95,2.4,284,7.1,0.6,0.016
Kobe Bufkin,ATL,21,10,6,4,124,12.4,103.3,16,1.6,12.3,17.6,3,0.3,12.5,2,0.2,18.2,55,5.5,27,2.7,54,5.4,116,11.6,0.7,0.071
Kris Dunn,LAC,31,74,45,29,1783,24.1,106,198,2.7,11.1,16.1,128,1.7,32.8,27,0.4,17.3,676,9.1,441,6,559,7.6,1688,22.8,8.7,0.117
Kris Murray,POR,24,69,31,38,1040,15.1,107.8,106,1.5,9.6,15.5,35,0.5,16.7,17,0.2,16,437,6.3,312,4.5,363,5.3,1050,15.2,4.6,0.067
Kristaps Porzi??is,BOS,29,42,30,12,1210,28.8,110.3,216,5.1,16.3,23.4,31,0.7,19.9,63,1.5,42.6,354,8.4,323,7.7,399,9.5,1094,26,4.4,0.105
Kyle Anderson,MIA,31,61,30,31,1002,16.4,107.6,153,2.5,14.8,21.9,40,0.7,21.3,33,0.5,35.1,344,5.6,276,4.5,295,4.8,992,16.3,4.5,0.073
Kyle Filipowski,UTA,21,72,13,59,1522,21.1,118.9,328,4.6,21.3,33.4,48,0.7,21.1,22,0.3,20.4,678,9.4,477,6.6,599,8.3,1774,24.6,1.7,0.024
Kyle Kuzma,MIL,29,65,25,40,1936,29.8,116.1,316,4.9,15.5,22.9,36,0.6,12.4,19,0.3,11.8,752,11.6,566,8.7,729,11.2,2028,31.2,3.8,0.059
Kyle Lowry,PHI,39,35,14,21,659,18.8,109.6,56,1.6,8.6,13.2,33,0.9,27.5,11,0.3,20,226,6.5,185,5.3,195,5.6,590,16.9,2.5,0.071
Kylor Kelley,NOP,27,11,3,8,126,11.5,130.5,27,2.5,19.4,27.6,1,0.1,11.1,3,0.3,33.3,55,5,42,3.8,44,4,146,13.3,-0.3,-0.026
Kyrie Irving,DAL,33,50,28,22,1804,36.1,113.9,180,3.6,9.3,14.8,66,1.3,21.8,23,0.5,9.9,648,13,605,12.1,512,10.2,1924,38.5,4.6,0.091
