PLAYER,TEAM,AGE,GAMES_PLAYED,WINS,LOSSES,MIN_TOTAL,MIN_PER_GAME,DEF_RTG,DREB_TOTAL,DREB_PER_GAME,DREB_PCT,PCT_TEAM_DREB,STL_TOTAL,STL_PER_GAME,PCT_TEAM_STL,BLK_TOTAL,BLK_PER_GAME,PCT_TEAM_BLK,OPP_PTS_OFF_TOV_TOTAL,OPP_PPG_OFF_TOV,OPP_2ND_CHANCE_PTS_TOTAL,OPP_2ND_CHANCE_PPG,OPP_FB_PTS_TOTAL,OPP_FB_PPG,OPP_PAINT_PTS_TOTAL,OPP_PAINT_PPG,DEF_WS_TOTAL,DEF_WS_PER_GAME
Mikal Bridges,NYK,28,82,51,31,3036,37,112.9,188,2.3,6.3,9.5,75,0.9,14.7,43,0.5,17.6,973,11.9,807,9.8,937,11.4,3170,38.7,8.7,0.106
Mike Conley,MIN,37,71,44,27,1756,24.7,109,150,2.1,8.5,12.4,79,1.1,26.4,14,0.2,7.6,591,8.3,450,6.3,543,7.6,1724,24.3,6.9,0.097
Miles Bridges,CHA,27,64,16,48,2029,31.7,113.6,409,6.4,18.9,28.2,44,0.7,14.9,45,0.7,23.2,771,12,571,8.9,713,11.1,2068,32.3,5.5,0.085
Miles McBride,NYK,24,64,39,25,1593,24.9,109.7,114,1.8,6.9,10.8,67,1,22.1,17,0.3,11.3,506,7.9,411,6.4,462,7.2,1580,24.7,6,0.095
Miles Norris,BOS,25,3,2,1,35,11.6,110.9,7,2.3,17.1,28,2,0.7,66.7,1,0.3,100,9,3,10,3.3,6,2,36,12,0.1,0.036
Mitchell Robinson,NYK,27,17,10,7,290,17.1,108.2,49,2.9,17.6,28.8,16,0.9,26.7,18,1.1,54.5,115,6.8,100,5.9,85,5,316,18.6,1.2,0.071
Mo Bamba,NOP,27,32,19,13,413,12.9,112.5,113,3.5,26.8,38.7,9,0.3,13.6,31,1,64.6,160,5,96,3,118,3.7,364,11.4,1.2,0.037
Monté Morris,PHX,30,45,21,24,571,12.7,108.3,55,1.2,8.8,14.5,20,0.4,21.7,3,0.1,4.1,227,5,175,3.9,187,4.2,578,12.8,2.4,0.053
Moritz Wagner,ORL,28,30,18,12,564,18.8,107,108,3.6,20.1,31.3,24,0.8,20.2,12,0.4,15,231,7.7,132,4.4,159,5.3,516,17.2,2.6,0.088
Moses Brown,DAL,25,13,5,8,119,9.1,105.9,32,2.5,22.4,36.4,6,0.5,27.3,4,0.3,50,47,3.6,43,3.3,40,3.1,134,10.3,0.6,0.048
Moses Moody,GSW,23,74,45,29,1649,22.3,108.9,137,1.9,8.4,12.3,59,0.8,17.3,31,0.4,20.7,540,7.3,398,5.4,502,6.8,1492,20.2,6.6,0.09
Mouhamed Gueye,ATL,22,33,15,18,533,16.1,104.7,95,2.9,17.9,25.1,28,0.8,22,33,1,47.8,182,5.5,101,3.1,183,5.5,546,16.5,2.8,0.084
Moussa Diabaté,CHA,23,71,15,56,1241,17.5,110.3,251,3.5,20.9,32.2,46,0.6,22,40,0.6,34.8,507,7.1,342,4.8,368,5.2,1198,16.9,4.4,0.062
Myles Turner,IND,29,72,44,28,2174,30.2,111.5,381,5.3,16.9,25.2,54,0.8,15.9,144,2,54.8,701,9.7,624,8.7,514,7.1,2278,31.6,7,0.097
N'Faly Dante,HOU,23,4,0,4,51,12.7,123.5,15,3.8,26.8,38.5,1,0.3,20,5,1.3,50,23,5.8,19,4.8,14,3.5,46,11.5,0,-0.003
Nae'Qwan Tomlin,CLE,24,5,4,1,63,12.7,92,12,2.4,14.5,20,0,0,0,1,0.2,12.5,20,4,13,2.6,26,5.2,70,14,0.6,0.116
Naji Marshall,DAL,27,69,32,37,1919,27.8,114.7,252,3.7,12.5,19.5,70,1,22.4,11,0.2,5.7,711,10.3,643,9.3,596,8.6,2202,31.9,4.5,0.065
Nate Williams,HOU,26,20,14,6,147,7.3,116.8,8,0.4,5.3,7.8,8,0.4,28.6,4,0.2,22.2,58,2.9,53,2.7,47,2.4,162,8.1,0.3,0.014
Naz Reid,MIN,25,80,47,33,2200,27.5,108.8,388,4.9,17.1,25.7,58,0.7,16.4,72,0.9,30.4,768,9.6,599,7.5,571,7.1,2170,27.1,8.9,0.112
Neemias Queta,BOS,25,62,46,16,863,13.9,108.3,147,2.4,16.8,26.4,18,0.3,12.8,42,0.7,43.8,236,3.8,264,4.3,197,3.2,842,13.6,3.5,0.057
Nic Claxton,BKN,26,70,20,50,1882,26.9,116.2,358,5.1,19.8,30.4,62,0.9,20.5,100,1.4,54.1,795,11.4,484,6.9,709,10.1,1966,28.1,3.6,0.051
Nick Richards,PHX,27,57,17,40,1256,22,120.9,318,5.6,24.3,35,14,0.2,9.9,55,1,43.7,514,9,374,6.6,484,8.5,1288,22.6,0.7,0.012
Nick Smith Jr.,CHA,21,60,14,46,1369,22.8,116.4,115,1.9,8,12.3,17,0.3,8.6,6,0.1,5,538,9,381,6.4,522,8.7,1446,24.1,2.5,0.042
Nickeil Alexander-Walker,MIN,26,82,49,33,2073,25.3,108.5,211,2.6,9.8,15.1,50,0.6,14.9,34,0.4,16.3,727,8.9,624,7.6,540,6.6,2052,25,8.6,0.105
Nicolas Batum,LAC,36,78,47,31,1367,17.5,104.7,171,2.2,11.7,17.3,52,0.7,20.9,36,0.5,24.7,483,6.2,355,4.6,429,5.5,1280,16.4,7.2,0.093
Nikola Joki?,DEN,30,70,46,24,2571,36.7,115.1,692,9.9,25.2,37.7,127,1.8,29.5,45,0.6,19.4,883,12.6,748,10.7,829,11.8,2738,39.1,5.7,0.082
Nikola Jovi?,MIA,22,46,21,25,1156,25.1,110.7,154,3.3,12.7,19.3,38,0.8,21.7,13,0.3,15.1,399,8.7,308,6.7,365,7.9,1172,25.5,4,0.088
Nikola Vu?evi?,CHI,34,73,34,39,2278,31.2,116,557,7.6,22.8,32.7,61,0.8,17.5,52,0.7,26.1,873,12,685,9.4,749,10.3,2712,37.2,4.4,0.061
Noah Clowney,BKN,20,46,11,35,1042,22.7,115.2,138,3,13.8,21,24,0.5,15.2,21,0.5,25,410,8.9,320,7,326,7.1,1000,21.7,2.3,0.049
Norman Powell,LAC,32,60,39,21,1958,32.6,107.4,169,2.8,8.5,12.2,73,1.2,18.8,9,0.2,5.1,701,11.7,476,7.9,603,10.1,1858,31,8.8,0.146
OG Anunoby,NYK,27,74,45,29,2706,36.6,112.3,261,3.5,9.8,14.7,110,1.5,24.3,65,0.9,28.1,825,11.1,714,9.6,834,11.3,2712,36.6,8.1,0.109
Obi Toppin,IND,27,79,48,31,1545,19.6,116.1,262,3.3,16.7,26.3,46,0.6,17.6,28,0.4,15.1,556,7,437,5.5,515,6.5,1806,22.9,3,0.038
Ochai Agbaji,TOR,25,64,19,45,1739,27.2,112.2,181,2.8,9.8,14.9,58,0.9,20.9,30,0.5,19.6,705,11,531,8.3,583,9.1,1772,27.7,5.3,0.083
Olivier-Maxence Prosper,DAL,22,52,27,25,584,11.2,109.5,82,1.6,13.7,21.1,26,0.5,21.7,6,0.1,9.8,228,4.4,163,3.1,217,4.2,630,12.1,2.3,0.044
Onyeka Okongwu,ATL,24,74,35,39,2064,27.9,113.7,440,5.9,21.3,31.9,69,0.9,15.8,68,0.9,30.8,846,11.4,552,7.5,711,9.6,2146,29,5.4,0.073
Orlando Robinson,TOR,24,44,23,21,770,17.5,109.2,131,3,16.1,24.7,17,0.4,12.9,16,0.4,25.8,282,6.4,240,5.5,278,6.3,794,18,3,0.069
Oscar Tshiebwe,UTA,25,14,3,11,255,18.2,115.8,76,5.4,28.6,40.9,13,0.9,31,1,0.1,8.3,103,7.4,79,5.6,88,6.3,268,19.1,0.5,0.036
Oshae Brissett,PHI,27,6,1,5,142,23.7,124.3,15,2.5,11.5,20.3,4,0.7,12.5,3,0.5,27.3,36,6,56,9.3,43,7.2,144,24,-0.1,-0.011
Oso Ighodaro,PHX,22,61,25,36,1046,17.1,110,156,2.6,14.3,22.4,28,0.5,15.3,29,0.5,26.1,360,5.9,302,5,316,5.2,1052,17.2,3.8,0.063
Ousmane Dieng,OKC,22,37,30,7,405,10.9,99.2,63,1.7,14.2,20.7,17,0.5,20.5,7,0.2,15.9,118,3.2,115,3.1,115,3.1,356,9.6,2.8,0.075
P.J. Tucker,NYK,40,3,1,2,58,19.3,127.4,4,1.3,10.3,16,1,0.3,7.7,1,0.3,20,20,6.7,10,3.3,18,6,64,21.3,-0.1,-0.025
P.J. Washington,DAL,26,57,31,26,1835,32.2,113.2,360,6.3,18.3,27.6,63,1.1,21.2,60,1.1,24.7,655,11.5,560,9.8,609,10.7,1978,34.7,5.1,0.09
PJ Dozier,MIN,28,9,7,2,35,3.9,107.8,4,0.4,12.5,21.1,1,0.1,14.3,0,0,0,21,2.3,13,1.4,16,1.8,48,5.3,0.2,0.018
PJ Hall,DEN,23,19,12,7,66,3.5,91.3,16,0.8,21.9,32.7,0,0,0,4,0.2,57.1,30,1.6,14,0.7,6,0.3,44,2.3,0.6,0.031
Pacôme Dadiet,NYK,19,18,14,4,111,6.2,113,15,0.8,12.8,19.5,3,0.2,27.3,2,0.1,20,40,2.2,37,2.1,30,1.7,116,6.4,0.3,0.017
Paolo Banchero,ORL,22,46,21,25,1582,34.4,109.6,294,6.4,19.2,28.4,36,0.8,13.3,28,0.6,16.7,559,12.2,408,8.9,481,10.5,1524,33.1,6,0.13
Pascal Siakam,IND,31,78,47,31,2548,32.7,108.9,407,5.2,15.4,23.3,70,0.9,15.3,42,0.5,15.5,750,9.6,734,9.4,591,7.6,2580,33.1,10.1,0.13
Pat Connaughton,MIL,32,41,19,22,603,14.7,114.6,90,2.2,14,21.4,9,0.2,11.8,11,0.3,15.3,224,5.5,182,4.4,152,3.7,574,14,1.4,0.034
Pat Spencer,GSW,28,39,24,15,250,6.4,107.8,31,0.8,13.1,19.9,14,0.4,23,3,0.1,12.5,97,2.5,76,1.9,63,1.6,230,5.9,1.1,0.029
Patrick Baldwin Jr.,LAC,22,24,3,21,107,4.4,102.1,20,0.8,18.9,28.2,3,0.1,17.6,2,0.1,18.2,33,1.4,26,1.1,35,1.5,78,3.3,0.7,0.028
Patrick Williams,CHI,23,63,31,32,1576,25,113.5,194,3.1,11.3,16.5,48,0.8,18.1,32,0.5,23.2,631,10,490,7.8,476,7.6,1826,29,4.3,0.068
Patty Mills,LAC,36,29,12,17,321,11.1,108,18,0.6,5.1,8,13,0.4,22,3,0.1,11.1,130,4.5,106,3.7,104,3.6,296,10.2,1.4,0.049
Paul George,PHI,35,41,15,26,1334,32.5,112.2,195,4.8,15.3,23.2,75,1.8,25.6,20,0.5,18.9,465,11.3,356,8.7,415,10.1,1290,31.5,4.1,0.099
Paul Reed,DET,26,45,22,23,438,9.7,105.7,83,1.8,19.7,31.3,39,0.9,35.1,25,0.6,58.1,147,3.3,135,3,125,2.8,388,8.6,2.2,0.048
Payton Pritchard,BOS,27,80,59,21,2271,28.4,108.9,205,2.6,8.7,13.3,70,0.9,19.8,14,0.2,5.8,585,7.3,623,7.8,567,7.1,2118,26.5,9,0.112
Pelle Larsson,MIA,24,55,24,31,782,14.2,108.7,64,1.2,8.1,11.9,32,0.6,23.2,7,0.1,12.7,256,4.7,196,3.6,233,4.2,790,14.4,3.2,0.059
Pete Nance,MIL,25,13,8,5,138,10.6,114.8,16,1.2,11.5,18,2,0.2,12.5,2,0.2,25,54,4.2,51,3.9,29,2.2,132,10.2,0.3,0.023
Peyton Watson,DEN,22,68,40,28,1656,24.3,113.9,186,2.7,10.3,15.8,48,0.7,17,93,1.4,45.1,624,9.2,520,7.6,601,8.8,1722,25.3,4.3,0.063
Phillip Wheeler,PHI,23,5,0,5,44,8.9,96.6,6,1.2,12.5,17.1,1,0.2,20,2,0.4,28.6,2,0.4,9,1.8,0,0,36,7.2,0.3,0.065
Precious Achiuwa,NYK,25,57,36,21,1170,20.5,111.4,216,3.8,18.8,28.9,47,0.8,21.9,42,0.7,41.6,452,7.9,281,4.9,387,6.8,1232,21.6,3.9,0.068
Quentin Grimes,PHI,25,75,29,46,2013,26.8,118.1,265,3.5,12.6,20.3,74,1,22.8,22,0.3,9.9,741,9.9,675,9,671,8.9,2146,28.6,2.8,0.037
Quenton Jackson,IND,26,28,14,14,381,13.6,110.1,30,1.1,7.9,11.9,21,0.8,28.8,5,0.2,10.9,134,4.8,103,3.7,101,3.6,392,14,1.4,0.051
Quincy Olivari,LAL,24,2,1,1,10,5.2,150,0,0,0,0,0,0,0,0,0,0,5,2.5,2,1,6,3,16,8,-0.1,-0.042
Quinten Post,GSW,25,42,26,16,686,16.3,109.1,113,2.7,16.6,24.4,16,0.4,13.7,18,0.4,25.7,221,5.3,159,3.8,242,5.8,604,14.4,2.7,0.064
RJ Barrett,TOR,25,58,23,35,1869,32.2,113.4,305,5.3,15.9,23.9,46,0.8,15.6,17,0.3,11.5,717,12.4,559,9.6,609,10.5,1914,33,5.1,0.088
RayJ Dennis,IND,24,11,7,4,70,6.4,86.3,10,0.9,11.6,17.5,7,0.6,36.8,2,0.2,14.3,22,2,13,1.2,28,2.5,56,5.1,0.8,0.069
Rayan Rupert,POR,21,52,23,29,460,8.8,109.8,44,0.8,9.7,15.6,16,0.3,19.5,4,0.1,12.1,221,4.3,134,2.6,172,3.3,498,9.6,1.8,0.034
Reece Beekman,BKN,23,36,13,23,469,13,110.4,26,0.7,6.1,9.4,33,0.9,37.1,2,0.1,5.9,170,4.7,113,3.1,134,3.7,488,13.6,1.7,0.047
Reed Sheppard,HOU,21,52,30,22,654,12.6,111.1,62,1.2,8.6,13,35,0.7,27.8,17,0.3,20.7,245,4.7,205,3.9,233,4.5,744,14.3,2.3,0.045
Reggie Jackson,PHI,35,31,11,20,384,12.4,111.8,34,1.1,9.3,14.5,16,0.5,22.9,3,0.1,10,122,3.9,102,3.3,106,3.4,338,10.9,1.2,0.039
Richaun Holmes,WAS,31,31,9,22,534,17.2,114.5,115,3.7,20.8,32.6,9,0.3,10.7,23,0.7,43.4,241,7.8,143,4.6,196,6.3,546,17.6,1.2,0.04
Ricky Council IV,PHI,23,73,16,57,1250,17.1,116,163,2.2,13,20.9,32,0.4,15.1,13,0.2,10,390,5.3,418,5.7,443,6.1,1356,18.6,2.5,0.034
Riley Minix,SAS,24,1,0,1,7,6.8,93.3,2,2,20,22.2,0,0,0,0,0,0,2,2,0,0,2,2,6,6,0.1,0.061
Rob Dillingham,MIN,20,49,30,19,516,10.5,111.1,38,0.8,7,11.6,20,0.4,25.3,1,0,2,163,3.3,169,3.4,139,2.8,548,11.2,1.8,0.037
Robert Williams III,POR,27,20,7,13,351,17.6,108.3,83,4.2,21.7,35.5,13,0.7,24.1,33,1.7,51.6,154,7.7,118,5.9,125,6.3,350,17.5,1.5,0.074
Ron Harper Jr.,DET,25,1,0,1,17,17,116.7,3,3,20,27.3,0,0,0,0,0,0,9,9,5,5,2,2,16,16,0,0.03
Ronald Holland II,DET,19,81,44,37,1266,15.6,110.9,178,2.2,13.6,21.2,49,0.6,22.6,17,0.2,13.1,491,6.1,414,5.1,385,4.8,1226,15.1,4.4,0.054
Royce O'Neale,PHX,32,75,33,42,1837,24.5,116.4,296,3.9,15.7,24.1,67,0.9,23.1,34,0.5,19.1,665,8.9,546,7.3,649,8.7,1940,25.9,3.4,0.046
Rudy Gobert,MIN,33,72,43,29,2388,33.2,107.6,520,7.2,21,31,56,0.8,14.1,104,1.4,40.6,891,12.4,676,9.4,719,10,2204,30.6,10.3,0.144
Rui Hachimura,LAL,27,59,37,22,1869,31.7,110.9,216,3.7,11.1,16.4,45,0.8,15.8,26,0.4,14.9,614,10.4,531,9,610,10.3,1890,32,6.4,0.109
Russell Westbrook,DEN,36,75,43,32,2092,27.9,116.2,268,3.6,11.9,18.2,106,1.4,28.9,37,0.5,16.4,825,11,671,8.9,779,10.4,2258,30.1,4,0.054
Ryan Dunn,PHX,22,74,32,42,1410,19.1,115.1,175,2.4,11.7,17.9,44,0.6,20.1,40,0.5,25.6,472,6.4,420,5.7,429,5.8,1350,18.2,3.1,0.042
Ryan Rollins,MIL,22,56,30,26,820,14.6,108.6,87,1.6,9.8,14.7,42,0.8,32.6,17,0.3,20,313,5.6,231,4.1,218,3.9,772,13.8,3.4,0.061
Sam Hauser,BOS,27,71,52,19,1541,21.7,109.8,180,2.5,11.3,17.1,41,0.6,18.8,13,0.2,7.9,361,5.1,421,5.9,357,5,1502,21.2,5.7,0.08
Sam Merrill,CLE,29,71,54,17,1401,19.7,107.1,119,1.7,7.7,12.1,53,0.7,21.5,14,0.2,11.4,425,6,408,5.7,341,4.8,1256,17.7,6.3,0.089
Sandro Mamukelashvili,SAS,26,61,23,38,681,11.2,112.9,125,2,17.6,27.7,22,0.4,18,17,0.3,28.3,259,4.2,234,3.8,225,3.7,722,11.8,2,0.032
Santi Aldama,MEM,24,65,38,27,1660,25.5,112.6,322,5,18.1,27.8,52,0.8,16.5,29,0.4,16.9,673,10.4,521,8,615,9.5,1720,26.5,4.9,0.075
Scoot Henderson,POR,21,66,30,36,1759,26.7,113.7,146,2.2,8.3,13.1,68,1,21.7,13,0.2,7.2,755,11.4,566,8.6,601,9.1,1770,26.8,4.6,0.07
Scottie Barnes,TOR,23,65,26,39,2134,32.8,110.1,393,6,17.6,26.6,93,1.4,26.2,63,1,32,751,11.6,603,9.3,664,10.2,2106,32.4,7.9,0.121
Scotty Pippen Jr.,MEM,24,79,46,33,1683,21.3,109.7,194,2.5,10.5,16.3,103,1.3,29.9,30,0.4,14.9,667,8.4,526,6.7,545,6.9,1628,20.6,6.4,0.081
Seth Curry,CHA,34,68,17,51,1062,15.6,114.1,89,1.3,8.1,12.1,27,0.4,18.6,7,0.1,7,439,6.5,314,4.6,402,5.9,1044,15.4,2.6,0.039
Shaedon Sharpe,POR,22,72,32,40,2252,31.3,114.4,256,3.6,11.4,17.6,62,0.9,16.4,16,0.2,6.6,873,12.1,669,9.3,810,11.3,2366,32.9,5.4,0.075
Shai Gilgeous-Alexander,OKC,26,76,63,13,2598,34.2,105.7,312,4.1,11.2,16.9,131,1.7,23,77,1,23.1,655,8.6,832,10.9,653,8.6,2298,30.2,12.8,0.168
Shake Milton,LAL,28,57,29,28,836,14.7,113.1,73,1.3,8.6,13.2,25,0.4,18.8,4,0.1,5.2,328,5.8,253,4.4,256,4.5,806,14.1,2.3,0.041
Sidy Cissoko,POR,21,22,11,11,114,5.2,89,13,0.6,10,14.1,2,0.1,11.1,1,0,5.9,40,1.8,18,0.8,36,1.6,102,4.6,1.1,0.052
Simone Fontecchio,DET,29,75,38,37,1237,16.5,109.5,163,2.2,12.7,18.9,31,0.4,15.2,12,0.2,9.2,490,6.5,361,4.8,387,5.2,1226,16.3,4.8,0.065
Skal Labissiere,SAC,29,4,2,2,12,3,128,2,0.5,22.2,40,0,0,0,0,0,0,5,1.3,0,0,5,1.3,6,1.5,0,-0.005
Spencer Dinwiddie,DAL,32,79,37,42,2136,27,115.1,191,2.4,8.6,13.1,70,0.9,21.6,17,0.2,7.7,740,9.4,691,8.7,737,9.3,2404,30.4,4.7,0.06
Spencer Jones,DEN,24,20,13,7,125,6.2,107.4,9,0.5,6.7,9.7,5,0.3,26.3,5,0.3,33.3,63,3.2,30,1.5,36,1.8,122,6.1,0.6,0.028
Stanley Umude,MIL,26,22,15,7,86,3.9,95.8,13,0.6,13.1,20.6,3,0.1,17.6,6,0.3,37.5,58,2.6,20,0.9,24,1.1,54,2.5,0.7,0.032
Stephen Curry,GSW,37,70,41,29,2252,32.2,112.7,270,3.9,11.8,17.5,80,1.1,17.6,30,0.4,14,784,11.2,587,8.4,761,10.9,2210,31.6,6.6,0.095
Stephon Castle,SAS,20,81,33,48,2162,26.7,116.6,208,2.6,9.2,14.5,74,0.9,19.7,22,0.3,9.1,825,10.2,755,9.3,696,8.6,2378,29.4,3.9,0.048
Steven Adams,HOU,31,58,38,20,794,13.7,105.9,161,2.8,19.3,28.3,22,0.4,17.7,28,0.5,34.6,301,5.2,201,3.5,225,3.9,750,12.9,3.8,0.066
Svi Mykhailiuk,UTA,28,38,6,32,760,20,117.7,68,1.8,8.5,13.1,19,0.5,16.7,7,0.2,10,298,7.8,255,6.7,306,8.1,808,21.3,1.1,0.029
T.J. McConnell,IND,33,79,49,30,1415,17.9,113.8,149,1.9,10.4,16,83,1.1,33.2,21,0.3,13.8,512,6.5,392,5,410,5.2,1518,19.2,3.7,0.047
Taj Gibson,CHA,40,37,10,27,409,11.1,110.4,69,1.9,15.1,23.5,9,0.2,16.7,18,0.5,48.6,167,4.5,122,3.3,151,4.1,398,10.8,1.5,0.04
Talen Horton-Tucker,CHI,24,58,26,32,724,12.5,109.8,81,1.4,9.7,14.3,21,0.4,18.4,11,0.2,12.2,269,4.6,239,4.1,183,3.2,752,13,2.8,0.048
Tari Eason,HOU,24,57,36,21,1420,24.9,109.2,234,4.1,15.8,23.9,97,1.7,35.1,50,0.9,33.6,489,8.6,397,7,411,7.2,1468,25.8,5.7,0.1
Taurean Prince,MIL,31,80,46,34,2166,27.1,114.5,253,3.2,11,16.3,76,1,23.2,15,0.2,6.3,767,9.6,640,8,754,9.4,2234,27.9,5.2,0.065
Taylor Hendricks,UTA,21,3,0,3,75,24.8,109.2,10,3.3,11.5,17.9,5,1.7,33.3,4,1.3,33.3,31,10.3,34,11.3,23,7.7,86,28.7,0.3,0.1
Taze Moore,POR,27,2,0,2,20,9.9,77.3,4,2,16,26.7,2,1,66.7,0,0,0,11,5.5,7,3.5,11,5.5,18,9,0.3,0.138
Terance Mann,ATL,28,67,37,30,1414,21.1,115.2,131,2,9.4,14.2,47,0.7,19.4,15,0.2,10.6,525,7.8,410,6.1,452,6.7,1454,21.7,3,0.045
Terence Davis,SAC,28,1,1,0,8,7.9,106.7,1,1,11.1,14.3,0,0,0,0,0,0,2,2,0,0,0,0,10,10,0,0.034
Terrence Shannon Jr.,MIN,24,32,21,11,339,10.6,107,37,1.2,10,15.9,7,0.2,13,5,0.2,17.9,125,3.9,97,3,101,3.2,356,11.1,1.6,0.05
Terry Rozier,MIA,31,64,27,37,1658,25.9,112.3,194,3,11.3,16.4,37,0.6,13,14,0.2,10.9,556,8.7,429,6.7,565,8.8,1626,25.4,5.1,0.079
Terry Taylor,SAC,25,3,1,2,6,2.1,71.4,0,0,0,0,0,0,0,0,0,0,2,0.7,0,0,2,0.7,8,2.7,0.1,0.033
Thomas Bryant,IND,27,66,44,22,963,14.6,113.4,168,2.5,16.9,26.8,28,0.4,15.9,41,0.6,42.7,322,4.9,309,4.7,307,4.7,1058,16,2.6,0.04
Tidjane Salaün,CHA,19,60,12,48,1244,20.7,111.2,210,3.5,16.8,25.2,29,0.5,14.2,14,0.2,14.3,539,9,316,5.3,412,6.9,1198,20,4.1,0.069
Tim Hardaway Jr.,DET,33,77,41,36,2153,28,114.2,165,2.1,7.5,11.2,38,0.5,11.2,7,0.1,3.2,801,10.4,629,8.2,668,8.7,2086,27.1,5.3,0.068
Tobias Harris,DET,32,73,40,33,2305,31.6,110.8,367,5,15.5,22.4,74,1,20.3,57,0.8,21.7,845,11.6,622,8.5,724,9.9,2158,29.6,7.9,0.109
Tolu Smith,DET,24,1,0,1,22,22.4,104.4,4,4,20,25,0,0,0,0,0,0,11,11,4,4,2,2,16,16,0.1,0.113
Tony Bradley,IND,27,14,11,3,113,8.1,93.6,24,1.7,19.2,25.8,2,0.1,9.5,9,0.6,64.3,53,3.8,13,0.9,41,2.9,114,8.1,1,0.071
Torrey Craig,BOS,34,26,16,10,314,12.1,109.8,46,1.8,13.8,21.9,8,0.3,14.8,12,0.5,34.3,94,3.6,61,2.3,77,3,304,11.7,1.2,0.046
Tosan Evbuomwan,BKN,24,28,8,20,665,23.7,108.4,88,3.1,13.6,19.9,24,0.9,20.9,10,0.4,17.9,240,8.6,180,6.4,198,7.1,656,23.4,2.8,0.099
Toumani Camara,POR,25,78,33,45,2548,32.7,113.3,277,3.6,11,16.9,116,1.5,26.5,50,0.6,18.7,1059,13.6,778,10,950,12.2,2528,32.4,6.9,0.088
Trae Young,ATL,26,76,36,40,2739,36,114.6,200,2.6,7.2,11,91,1.2,16.3,12,0.2,4.1,1073,14.1,813,10.7,966,12.7,2970,39.1,6.5,0.086
Trayce Jackson-Davis,GSW,25,62,33,29,967,15.6,111.3,189,3,19.2,28.2,23,0.4,13.4,38,0.6,36.5,345,5.6,273,4.4,316,5.1,960,15.5,3.2,0.052
Tre Jones,CHI,25,46,21,25,905,19.7,113.5,85,1.8,8.6,13.6,37,0.8,25.9,10,0.2,9,288,6.3,306,6.7,245,5.3,962,20.9,2.4,0.052
Tre Mann,CHA,24,13,6,7,319,24.5,114.4,26,2,7.9,12.3,7,0.5,16.3,4,0.3,12.5,132,10.2,97,7.5,99,7.6,324,24.9,0.8,0.06
Trendon Watford,BKN,24,44,16,28,913,20.7,109.4,123,2.8,13.2,20.5,27,0.6,19.6,12,0.3,13,391,8.9,276,6.3,299,6.8,906,20.6,3.5,0.08
Trentyn Flowers,LAC,20,6,4,2,27,4.4,101.7,3,0.5,9.7,14.3,0,0,0,0,0,0,14,2.3,11,1.8,7,1.2,38,6.3,0.2,0.029
Trevelin Queen,ORL,28,31,15,16,430,13.9,111.1,28,0.9,7.1,10.7,31,1,40.8,10,0.3,17.9,169,5.5,105,3.4,117,3.8,438,14.1,1.5,0.047
Trey Alexander,DEN,22,24,14,10,117,4.9,105.1,11,0.5,8.7,12.2,2,0.1,11.1,1,0,10,43,1.8,38,1.6,31,1.3,106,4.4,0.6,0.026
Trey Jemison III,LAL,25,38,17,21,392,10.3,107.8,61,1.6,14.1,22.8,9,0.2,13.8,15,0.4,39.5,169,4.4,150,3.9,139,3.7,390,10.3,1.7,0.045
Trey Lyles,SAC,29,69,34,35,1350,19.6,113.8,236,3.4,17.7,26.8,41,0.6,17.7,23,0.3,17.8,469,6.8,378,5.5,374,5.4,1318,19.1,3.5,0.051
Trey Murphy III,NOP,25,53,14,39,1854,35,118.7,221,4.2,11.7,18.2,56,1.1,17.3,39,0.7,18.8,729,13.8,621,11.7,734,13.8,2038,38.5,2.2,0.041
Tristan Thompson,CLE,34,40,31,9,328,8.2,109.8,102,2.6,27.1,40.5,2,0.1,5.3,11,0.3,35.5,120,3,102,2.6,106,2.7,318,8,1.2,0.031
Tristan Vukcevic,WAS,22,35,7,28,513,14.6,114.3,104,3,18.6,29.5,11,0.3,15.9,23,0.7,48.9,187,5.3,181,5.2,194,5.5,558,15.9,1.3,0.036
Tristan da Silva,ORL,24,74,35,39,1629,22,110.3,172,2.3,11.4,17.1,33,0.4,11.1,18,0.2,9,628,8.5,406,5.5,465,6.3,1614,21.8,5.8,0.079
Tristen Newton,MIN,24,8,2,6,16,2,97.6,2,0.3,11.1,22.2,1,0.1,20,0,0,0,6,0.8,8,1,7,0.9,18,2.3,0.1,0.018
Ty Jerome,CLE,27,70,55,15,1392,19.9,110.4,123,1.8,8.3,12.8,78,1.1,31.1,3,0,2.6,477,6.8,443,6.3,384,5.5,1366,19.5,5,0.071
TyTy Washington Jr.,PHX,23,16,4,12,118,7.4,105.7,9,0.6,7,12.2,3,0.2,15.8,0,0,0,28,1.8,44,2.8,28,1.8,140,8.8,0.6,0.037
Tyler Herro,MIA,25,77,37,40,2725,35.4,112.6,364,4.7,13.2,19.5,69,0.9,15.1,17,0.2,7.7,942,12.2,741,9.6,834,10.8,2788,36.2,7.9,0.103
Tyler Kolek,NYK,24,41,27,14,296,7.2,104.4,19,0.5,5.9,8.6,12,0.3,30,4,0.1,16.7,99,2.4,81,2,69,1.7,330,8,1.6,0.04
Tyler Smith,MIL,20,23,12,11,122,5.3,96.3,19,0.8,14.3,23.8,3,0.1,13,4,0.2,44.4,59,2.6,41,1.8,24,1,98,4.3,1,0.043
